trial,state,value,param_gamma,param_mu,param_nu,param_rho,param_delta,param_lambda_,param_p_h,attr_train_total_revenue,attr_train_avg_revenue,attr_valid_total_revenue,attr_valid_avg_revenue,attr_pacing_term
29,PRUNED,21.21871691025081,0.5505517746548846,2.382661559715462,5.322518545590704,1.6792532751457436,3.852189876925727,0.504839789970293,-0.6767425718107725,,,,,
30,PRUNED,49.674455473072754,1.8157422820847053,2.109313918496574,0.69044123218473,-0.8261570722112108,0.6775647143167411,0.3121523583614927,-0.7837043395305793,,,,,
31,COMPLETE,96.63138657674294,1.1955694113465827,2.217173047047816,1.925648786873021,0.43670835224951976,4.70937742878163,4.1892031518298545,0.42998192061933865,325497.23110596836,96.44362403139803,81556.89027077104,96.63138657674294,1.1877766960507552
32,COMPLETE,96.80022645797298,0.05570978440714002,2.491611880049933,3.007369295542129,-0.16550965852068145,3.7666327986715973,0.7758356134384345,0.75174193354415,325936.99782548245,96.57392528162443,81699.3911305292,96.80022645797298,0.8755794492834309
33,COMPLETE,98.28429747831031,0.07210334168410013,2.8782854006897183,1.3211061330263534,0.43236907450130674,4.483376617130254,1.8269342563961968,0.8310966845975223,332057.496837746,98.38740647044327,82951.9470716939,98.28429747831031,1.359340504340535
34,COMPLETE,97.01250756018256,0.04923727394436403,2.002023412446183,1.885702088667271,0.8305025524507437,4.873411055579688,0.6040091191790422,0.8508384435597918,326344.4114797376,96.69464043844077,81878.55638079408,97.01250756018256,1.7066234990996252
35,COMPLETE,96.74764123477836,0.03557050281644936,2.607029195478901,2.804996137449836,-0.23125407071723897,4.756696870360206,1.4516803369220528,0.9974320594168624,327300.8149538972,96.97801924559917,81655.00920215293,96.74764123477836,0.7693397759959716
36,COMPLETE,97.63472431724915,0.04680276239047588,1.952776368087019,0.11126148010202619,1.399787813466347,3.2115809818885044,0.7312729967161237,0.8793550193246746,330872.5863243303,98.03632187387565,82403.70732375828,97.63472431724915,2.2309104397611437
37,COMPLETE,95.66927374223555,0.017920768975829594,2.0930194415808843,0.008317442016110801,1.5878661308502258,2.026772269132586,0.07445695692912513,0.7322051849350918,324736.010611249,96.21807721814785,80744.8670384468,95.66927374223555,2.162643813991358
38,COMPLETE,98.26000026854503,0.04249182803566475,1.5018989214316578,0.9409875219717337,1.6112191547070756,4.177435124624947,1.131051942882174,0.39319775993810985,332419.56724670395,98.49468659161599,82931.440226652,98.26000026854503,1.633527762400197
39,COMPLETE,92.94188033969583,0.01928119364873645,2.6229077413669595,0.47894168282606564,0.9841893989061071,4.750719589735228,0.2887714722040374,-0.44140893965226174,315914.7317729497,93.60436496976287,78442.94700670328,92.94188033969583,0.5655700010118584
40,COMPLETE,97.81508623794892,0.18624158243947228,2.5055513594487113,0.46242596837497896,2.250504735120562,3.3226478267593507,2.2963213606520094,0.5041196423987753,329737.95713304717,97.7001354468288,82555.93278482888,97.81508623794892,2.1345236422857283
41,PRUNED,73.698187627988,0.2866239476940546,2.6797668516546325,1.5912927642992638,1.9032883355458023,3.242572765258636,2.766773395845218,0.5573148661944284,,,,,
42,COMPLETE,91.00204254620105,0.22503295625985562,2.4646352905901066,1.497480656264272,-1.047789685297362,4.421977290462804,3.152501916310214,0.7771312064390032,306239.81518274103,90.73772301710845,76805.72390899369,91.00204254620105,0.1857299377705175
43,PRUNED,66.39107072920267,0.0753777657759686,-0.1271259768854487,0.4520244644416723,2.3438830235946386,3.0446151771634113,1.6055522042092183,0.7052214064277869,,,,,
44,COMPLETE,97.26610478565311,0.22408916092041706,1.9577494575027865,0.017375718548372,1.9753853762518254,4.111645191570714,0.8973041279927894,0.8607226618602876,330346.9893582509,97.88058943948175,82092.59243909123,97.26610478565311,2.700258959247357
45,PRUNED,96.87717498854491,0.05145207266198239,0.6875471689775021,0.09661231568727786,-0.8724435185764476,4.137194243440187,0.8076493431159542,0.3747774778228713,,,,,
46,COMPLETE,97.41652380354597,0.08322987255918256,1.4415505600897778,1.0484560602839654,1.9543214349471427,4.679604738753152,1.1842149745946646,0.14429584443883353,329729.25266387564,97.69755634485205,82219.5460901928,97.41652380354597,1.2820004617606109
47,COMPLETE,96.72985221326002,0.3129446814366524,2.6203177226867975,0.0641284660066444,2.4571935428415217,4.636087413908023,3.681751786524478,0.24104378222446454,326815.6377809969,96.83426304622131,81639.99526799146,96.72985221326002,1.5922912252240522
48,COMPLETE,97.88836738000164,0.08656785875085905,2.390746518679841,0.3210005445132875,1.2144652885775156,2.4892777222608897,1.9007261477190518,0.019613846748574082,331801.15448428417,98.31145318052864,82617.78206872138,97.88836738000164,1.0238203360516223
49,COMPLETE,99.42542864874852,0.11468369544939408,1.8182539640648097,0.5627955252615593,0.7753227153036086,1.5410895563662006,1.620422743819062,0.04720659167341895,333988.0705136806,98.9594283003498,83915.06177954376,99.42542864874852,1.0366003428364639
50,COMPLETE,97.35351096550082,0.21221751265493655,1.7978247342782927,0.06758031853052049,0.5113359119633795,1.5730623826941472,2.8180560459578223,-0.2567815654469659,330229.27771885565,97.84571191669797,82166.36325488269,97.35351096550082,0.8686983640567915
51,COMPLETE,97.98357342149168,0.016124977649528992,2.6955750669486602,0.5983937686836716,-0.9971271131147286,1.8545750002313186,1.1800992126940149,0.046533840973733094,331130.863128156,98.11284833426845,82698.13596773898,97.98357342149168,0.9535998454877217
52,PRUNED,54.16566090358147,0.02448038549434079,1.363378250724197,0.8639681132483361,-1.4863999065039446,0.9714540479322482,1.0526739609229545,-0.5398140377834504,,,,,
53,PRUNED,90.7361370479493,0.1046343904913065,2.8165526836942196,0.03355557599251063,0.5535181622251302,0.957259653352599,0.08424252289429157,-0.14611218192553121,,,,,
54,PRUNED,27.355924580998945,0.03431180207419113,2.992969929446293,0.22861261670585437,-1.3990608919600898,2.545039531269875,1.3853901830058628,0.8328096005782752,,,,,
55,COMPLETE,98.60060989304831,0.06023858614630294,1.9999586962400553,0.4150348755951454,1.6885568692051762,2.506744773670946,2.4516944816298842,0.36266094074338084,333489.6325834702,98.81174298769487,83218.91474973278,98.60060989304831,1.6123736226846472
56,COMPLETE,97.42480781795278,0.029176557537569297,1.614848130474376,0.10083500981488674,1.3859135592612315,1.8632825164836062,4.407271185273026,0.47453693138137404,331992.9356397682,98.36827722659798,82226.53779835215,97.42480781795278,1.6576671675716628
57,COMPLETE,98.0110906591909,0.023496326345160145,1.448275081270591,0.9171571098673803,-0.882260070342864,3.5264555531545296,1.1524352482755769,-0.17326503442789828,331613.2107086625,98.2557661359,82721.36051635712,98.0110906591909,1.1528648214623163
58,PRUNED,93.62763289971535,0.014011160633148443,0.3754396998537297,0.29491242683919605,-1.4842711312425845,3.494270615864373,2.034264098898454,-0.1463325862006508,,,,,
59,COMPLETE,96.28419020777537,0.01093191586928483,2.857017285436597,2.635804882298339,-1.4529405551791048,2.8870434781749603,1.5206356906204637,0.2067150389150328,325105.0025964576,96.32740817672818,81263.85653536241,96.28419020777537,0.6996553365949221
60,COMPLETE,96.0522070062729,0.02894749642841049,0.6543879848745389,1.344534477998293,-1.4321144853336327,4.345506965125112,0.06772566806528668,-0.6267527192753816,327188.90999155043,96.94486221971864,81068.06271329432,96.0522070062729,1.897581647996518
